Iteration,Score,Trial,Learner,Net
2,-5915.6010239988855,1,CASGMM,ds2
3,-5675.998868007154,1,CASGMM,ds2
4,-5355.52796400423,1,CASGMM,ds2
5,-5088.5538965570195,1,CASGMM,ds2
6,-5088.55389655702,1,CASGMM,ds2
7,-5088.5538965570195,1,CASGMM,ds2
8,-4919.91698656806,1,CASGMM,ds2
9,-4685.909201683238,1,CASGMM,ds2
0,-6390.630437713772,1,CASMOD,ds2
1,-5946.659746407899,1,CASMOD,ds2
2,-5524.307383374355,1,CASMOD,ds2
4,-5152.504708040864,1,CASMOD,ds2
5,-5082.802914462489,1,CASMOD,ds2
6,-4609.341419764615,1,CASMOD,ds2
7,-4355.949038881247,1,CASMOD,ds2
8,-4264.78209341696,1,CASMOD,ds2
9,-4264.782093416963,1,CASMOD,ds2
0,-6705.736154680299,1,CASJNK,ds2
1,-6544.069413767792,1,CASJNK,ds2
2,-6228.802889173115,1,CASJNK,ds2
3,-5944.354054160986,1,CASJNK,ds2
4,-5943.498346157659,1,CASJNK,ds2
5,-5642.707376259728,1,CASJNK,ds2
6,-5472.958558908715,1,CASJNK,ds2
7,-5472.9585589087155,1,CASJNK,ds2
8,-4950.290128728329,1,CASJNK,ds2
9,-4901.749384704489,1,CASJNK,ds2
0,-6438.935598414657,2,GREEDY,ds2
1,-6437.7092359981525,2,GREEDY,ds2
2,-6230.106996555947,2,GREEDY,ds2
3,-5972.868948545321,2,GREEDY,ds2
4,-5972.669761147518,2,GREEDY,ds2
5,-5753.357000581489,2,GREEDY,ds2
6,-5753.294870121783,2,GREEDY,ds2
7,-5752.384555905017,2,GREEDY,ds2
8,-5998.828667475442,2,GREEDY,ds2
9,-5750.933931347234,2,GREEDY,ds2
0,-6444.529969521568,2,CASGMM,ds2
1,-5958.978634233695,2,CASGMM,ds2
2,-5701.640355710075,2,CASGMM,ds2
3,-5429.038097387871,2,CASGMM,ds2
4,-4919.765973933646,2,CASGMM,ds2
5,-4648.219063663834,2,CASGMM,ds2
6,-4648.219065663834,2,CASGMM,ds2
7,-4336.541070884832,2,CASGMM,ds2
8,-3963.127979565888,2,CASGMM,ds2
9,-3787.1064571237607,2,CASGMM,ds2
0,-6429.462738569346,2,CASMOD,ds2
1,-5963.269589732254,2,CASMOD,ds2
2,-5730.754160117206,2,CASMOD,ds2
3,-5730.754160117206,2,CASMOD,ds2
4,-5346.260161812566,2,CASMOD,ds2
5,-5060.085489206889,2,CASMOD,ds2
6,-4626.323474021165,2,CASMOD,ds2
8,-4372.8080042481015,2,CASMOD,ds2
9,-4368.604312327143,2,CASMOD,ds2
0,-6788.740656521086,2,CASJNK,ds2
1,-6532.0144480035015,2,CASJNK,ds2
2,-6124.305596826606,2,CASJNK,ds2
3,-6123.674986845166,2,CASJNK,ds2
4,-6120.684194157504,2,CASJNK,ds2
5,-5885.651161982895,2,CASJNK,ds2
6,-5473.788754036892,2,CASJNK,ds2
7,-5064.112045747004,2,CASJNK,ds2
8,-5061.886614630323,2,CASJNK,ds2
9,-4774.498034852941,2,CASJNK,ds2
0,-6829.49740048885,3,GREEDY,ds2
1,-6829.414067448847,3,GREEDY,ds2
2,-6829.33198455731,3,GREEDY,ds2
3,-6828.928618735739,3,GREEDY,ds2
4,-6540.917535060368,3,GREEDY,ds2
5,-6540.6869778970595,3,GREEDY,ds2
6,-6538.141172613764,3,GREEDY,ds2
7,-6537.944561915398,3,GREEDY,ds2
0,-6685.4961865738815,3,CASGMM,ds2
1,-6303.7913381584785,3,CASGMM,ds2
2,-5965.74749218767,3,CASGMM,ds2
3,-5528.204352585948,3,CASGMM,ds2
4,-5390.884205646259,3,CASGMM,ds2
5,-5096.619167648178,3,CASGMM,ds2
6,-4942.587163200353,3,CASGMM,ds2
7,-4740.367825180609,3,CASGMM,ds2
8,-4535.999289763318,3,CASGMM,ds2
9,-4211.027302428076,3,CASGMM,ds2
0,-6563.317138999055,3,CASMOD,ds2
1,-6053.066044586993,3,CASMOD,ds2
2,-5850.846706603314,3,CASMOD,ds2
3,-5466.219330695822,3,CASMOD,ds2
4,-5347.4525609046705,3,CASMOD,ds2
6,-5419.134265255677,3,CASMOD,ds2
8,-4877.274309055305,3,CASMOD,ds2
9,-4839.087997316257,3,CASMOD,ds2
0,-6563.8630755669255,3,CASJNK,ds2
1,-6393.070787334813,3,CASJNK,ds2
2,-6173.311382654283,3,CASJNK,ds2
3,-6099.222472590025,3,CASJNK,ds2
4,-6097.705353101521,3,CASJNK,ds2
5,-6001.7198241910955,3,CASJNK,ds2
6,-5619.134911362258,3,CASJNK,ds2
7,-5371.961059912764,3,CASJNK,ds2
8,-5080.6971225905745,3,CASJNK,ds2
9,-5037.147189530133,3,CASJNK,ds2
0,-6727.610690116206,4,GREEDY,ds2
1,-6727.26258284677,4,GREEDY,ds2
2,-6726.814597476512,4,GREEDY,ds2
3,-6724.662488122138,4,GREEDY,ds2
4,-6519.95690064472,4,GREEDY,ds2
5,-6357.411698120956,4,GREEDY,ds2
6,-6117.8095421292255,4,GREEDY,ds2
7,-5860.3192676043345,4,GREEDY,ds2
8,-5860.090958842868,4,GREEDY,ds2
9,-5858.740423091009,4,GREEDY,ds2
0,-6536.278267429879,4,CASGMM,ds2
1,-6254.70165786264,4,CASGMM,ds2
2,-5767.679043942919,4,CASGMM,ds2
3,-5385.539029475268,4,CASGMM,ds2
4,-5112.254051986357,4,CASGMM,ds2
5,-4919.464796584471,4,CASGMM,ds2
6,-4907.678648029389,4,CASGMM,ds2
7,-4930.454654267874,4,CASGMM,ds2
8,-5022.861370553717,4,CASGMM,ds2
9,-4730.087995277076,4,CASGMM,ds2
0,-6536.278267521739,4,CASMOD,ds2
1,-6536.278267521739,4,CASMOD,ds2
2,-6251.888322020021,4,CASMOD,ds2
3,-6170.2438910297315,4,CASMOD,ds2
4,-5972.302907455125,4,CASMOD,ds2
5,-5755.810952292197,4,CASMOD,ds2
6,-5649.24196572462,4,CASMOD,ds2
7,-5730.294973933077,4,CASMOD,ds2
8,-5409.63980979888,4,CASMOD,ds2
9,-5143.206586601573,4,CASMOD,ds2
0,-6692.096736636488,4,CASJNK,ds2
1,-6507.597348226218,4,CASJNK,ds2
2,-5994.871558877139,4,CASJNK,ds2
3,-5649.950104923697,4,CASJNK,ds2
5,-5392.6103401052915,4,CASJNK,ds2
6,-5390.954842282412,4,CASJNK,ds2
7,-5221.206024931398,4,CASJNK,ds2
8,-5058.416417379212,4,CASJNK,ds2
9,-4815.966741635417,4,CASJNK,ds2
0,-6925.267497616964,5,GREEDY,ds2
1,-6924.697067644988,5,GREEDY,ds2
2,-6923.1461680506145,5,GREEDY,ds2
3,-6786.798703066996,5,GREEDY,ds2
4,-6785.112710782383,5,GREEDY,ds2
5,-6785.811363271072,5,GREEDY,ds2
6,-6539.5012224871925,5,GREEDY,ds2
7,-6539.061453278845,5,GREEDY,ds2
8,-6535.3305443293175,5,GREEDY,ds2
0,-6633.679269199642,5,CASGMM,ds2
1,-6196.13612959792,5,CASGMM,ds2
2,-5976.859053430846,5,CASGMM,ds2
3,-5723.823147813191,5,CASGMM,ds2
4,-5467.938600179064,5,CASGMM,ds2
5,-5306.99806916984,5,CASGMM,ds2
6,-5155.93984856015,5,CASGMM,ds2
7,-5152.798824294605,5,CASGMM,ds2
8,-5151.326553429706,5,CASGMM,ds2
9,-4906.661095618403,5,CASGMM,ds2
0,-6543.4682225224915,5,CASMOD,ds2
1,-6311.12815013429,5,CASMOD,ds2
2,-5852.248918086935,5,CASMOD,ds2
3,-5595.669232188813,5,CASMOD,ds2
4,-5500.266527507224,5,CASMOD,ds2
5,-5000.449026213213,5,CASMOD,ds2
6,-4894.359603859513,5,CASMOD,ds2
7,-4672.810182197769,5,CASMOD,ds2
8,-4671.025061644728,5,CASMOD,ds2
9,-4417.989156102362,5,CASMOD,ds2
0,-6686.310450229699,5,CASJNK,ds2
1,-6685.828307266249,5,CASJNK,ds2
2,-6570.075271717853,5,CASJNK,ds2
3,-6115.7122315998,5,CASJNK,ds2
4,-6113.421232212389,5,CASJNK,ds2
5,-5935.538959414198,5,CASJNK,ds2
6,-5780.315789429968,5,CASJNK,ds2
7,-5779.6988327268955,5,CASJNK,ds2
8,-5324.498101469984,5,CASJNK,ds2
9,-5174.407536778321,5,CASJNK,ds2
0,-9944.804049679227,1,GREEDY,ds4
1,-9939.248783626928,1,GREEDY,ds4
2,-9939.216869859196,1,GREEDY,ds4
3,-9938.896189439645,1,GREEDY,ds4
4,-9930.034036083762,1,GREEDY,ds4
5,-9929.055453047868,1,GREEDY,ds4
6,-9904.337088635726,1,GREEDY,ds4
7,-9885.963927105537,1,GREEDY,ds4
